ActionID,Timestamp,Product,CurrentStock,StockBeforeOrder,StockAfterOrder,PredictedDaysToDepletion,Confidence,UrgencyLevel,ReorderQuantity,Reasoning,LIMEEvidence,DecisionRationale,Status,AgentConsensus,ProcessingTimeMS,AutoApproved,InventoryUpdated
MULTI-20251126185509-0,2025-11-26T18:55:09.366526,Coca Cola (2L),1909,1909,47167,0,0.8828163194590927,CRITICAL,45258,"UrgencyAgent: 🚨 EMERGENCY: Only 1.4 days until stockout! | QuantityAgent: 📊 Optimal: 16308 units (EOQ: 10868, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 70920 units (Est. savings: $22875.78)",UrgencyAgent: StockPercentage: -0.27; CurrentStock: +0.01 | QuantityAgent: StockPercentage: -0.30; CurrentStock: +0.04 | CostAgent: StockPercentage: -0.27; CurrentStock: +0.01,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-1,2025-11-26T18:55:09.366526,Facewash (100ml),83,83,55657,0,0.7861570542098285,CRITICAL,55574,"UrgencyAgent: 🚨 EMERGENCY: Only 0.4 days until stockout! | QuantityAgent: 📊 Optimal: 18048 units (EOQ: 12032, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 89172 units (Est. savings: $7721.87)",UrgencyAgent: AvgDailySales: -0.42; CurrentStock: -0.40 | QuantityAgent: AvgDailySales: -0.42; CurrentStock: -0.40 | CostAgent: CurrentStock: -0.42; AvgDailySales: -0.42,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-2,2025-11-26T18:55:09.366526,Bisleri Water (1L),2185,2185,45879,0,0.8192111016293357,CRITICAL,43694,"UrgencyAgent: 🚨 EMERGENCY: Only 1.6 days until stockout! | QuantityAgent: 📊 Optimal: 16032 units (EOQ: 10681, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 68160 units (Est. savings: $24775.16)",UrgencyAgent: StockPercentage: -0.28; CurrentStock: +0.06 | QuantityAgent: StockPercentage: -0.28; CurrentStock: +0.03 | CostAgent: StockPercentage: -0.31; CurrentStock: +0.04,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-3,2025-11-26T18:55:09.366526,Real Juice (1L),1736,1736,47972,0,0.8228291642274853,CRITICAL,46236,"UrgencyAgent: 🚨 EMERGENCY: Only 1.0 days until stockout! | QuantityAgent: 📊 Optimal: 16476 units (EOQ: 10984, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 72648 units (Est. savings: $16387.75)",UrgencyAgent: StockPercentage: -0.30; AvgDailySales: -0.15 | QuantityAgent: StockPercentage: -0.33; AvgDailySales: -0.12 | CostAgent: StockPercentage: -0.30; AvgDailySales: -0.17,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-4,2025-11-26T18:55:09.366526,Soap (125g),156,156,55319,0,0.7609041349071637,CRITICAL,55163,"UrgencyAgent: 🚨 EMERGENCY: Only 0.2 days until stockout! | QuantityAgent: 📊 Optimal: 17988 units (EOQ: 11988, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 88440 units (Est. savings: $3355.66)",UrgencyAgent: AvgDailySales: -0.44; CurrentStock: -0.40 | QuantityAgent: AvgDailySales: -0.47; CurrentStock: -0.39 | CostAgent: AvgDailySales: -0.41; CurrentStock: -0.36,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-5,2025-11-26T18:55:09.366526,Biscuits,2232,2232,45656,0,0.7477407326956141,CRITICAL,43424,"UrgencyAgent: 🚨 EMERGENCY: Only 1.5 days until stockout! | QuantityAgent: 📊 Optimal: 15984 units (EOQ: 10649, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 67680 units (Est. savings: $23426.93)",UrgencyAgent: StockPercentage: -0.28; AvgDailySales: -0.04 | QuantityAgent: StockPercentage: -0.24; CurrentStock: +0.07 | CostAgent: StockPercentage: -0.28; CurrentStock: +0.05,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-6,2025-11-26T18:55:09.366526,Dry Fruits (250g),1864,1864,47375,0,0.8836790949838239,CRITICAL,45511,"UrgencyAgent: 🚨 EMERGENCY: Only 1.5 days until stockout! | QuantityAgent: 📊 Optimal: 16356 units (EOQ: 10898, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 71364 units (Est. savings: $24334.84)",UrgencyAgent: StockPercentage: -0.29; AvgDailySales: -0.18 | QuantityAgent: StockPercentage: -0.27; AvgDailySales: -0.20 | CostAgent: StockPercentage: -0.29; AvgDailySales: -0.20,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-7,2025-11-26T18:55:09.366526,Chocolate,2131,2131,46128,0,0.8551392191134978,CRITICAL,43997,"UrgencyAgent: 🚨 EMERGENCY: Only 1.6 days until stockout! | QuantityAgent: 📊 Optimal: 16080 units (EOQ: 10718, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 68700 units (Est. savings: $24511.00)",UrgencyAgent: StockPercentage: -0.29; CurrentStock: +0.08 | QuantityAgent: StockPercentage: -0.27; CurrentStock: +0.05 | CostAgent: StockPercentage: -0.30; CurrentStock: +0.05,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-8,2025-11-26T18:55:09.366526,Red Bull (250ml),1868,1868,47356,0,0.8816253918419245,CRITICAL,45488,"UrgencyAgent: 🚨 EMERGENCY: Only 1.4 days until stockout! | QuantityAgent: 📊 Optimal: 16344 units (EOQ: 10896, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 71328 units (Est. savings: $22864.76)",UrgencyAgent: StockPercentage: -0.26; CurrentStock: +0.03 | QuantityAgent: StockPercentage: -0.31; CurrentStock: +0.07 | CostAgent: StockPercentage: -0.31; CurrentStock: +0.04,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-9,2025-11-26T18:55:09.366526,Lays Chips,1758,1758,47870,0,0.8860414698002782,CRITICAL,46112,"UrgencyAgent: 🚨 EMERGENCY: Only 1.2 days until stockout! | QuantityAgent: 📊 Optimal: 16464 units (EOQ: 10969, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 72420 units (Est. savings: $20091.30)",UrgencyAgent: StockPercentage: -0.26; AvgDailySales: -0.18 | QuantityAgent: StockPercentage: -0.31; AvgDailySales: -0.15 | CostAgent: StockPercentage: -0.25; AvgDailySales: -0.19,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-10,2025-11-26T18:55:09.366526,Paneer (200g),2351,2351,45097,0,0.6990215820530508,CRITICAL,42746,"UrgencyAgent: 🚨 EMERGENCY: Only 1.9 days until stockout! | QuantityAgent: 📊 Optimal: 15852 units (EOQ: 10567, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 66492 units (Est. savings: $29589.39)",UrgencyAgent: StockPercentage: -0.27; CurrentStock: +0.06 | QuantityAgent: StockPercentage: -0.33; AvgDailySales: -0.06 | CostAgent: StockPercentage: -0.28; AvgDailySales: -0.02,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-11,2025-11-26T18:55:09.366526,Wheat Flour (5kg),3443,3443,35601,0,0.8468676416177127,CRITICAL,32158,"UrgencyAgent: ⚠️ HIGH PRIORITY: 3.0 days remaining | QuantityAgent: 📊 Optimal: 14676 units (EOQ: 9784, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 55572 units (Est. savings: $38960.17)",UrgencyAgent: AvgDailySales: +0.60; CurrentStock: +0.52 | QuantityAgent: AvgDailySales: +0.61; CurrentStock: +0.51 | CostAgent: AvgDailySales: +0.59; CurrentStock: +0.47,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""URGENT_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-12,2025-11-26T18:55:09.366526,Shampoo (250ml),644,644,53056,0,0.6399656915631524,CRITICAL,52412,"UrgencyAgent: 🚨 EMERGENCY: Only 0.7 days until stockout! | QuantityAgent: 📊 Optimal: 17532 units (EOQ: 11687, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 83568 units (Est. savings: $13118.81)",UrgencyAgent: AvgDailySales: -0.42; CurrentStock: -0.39 | QuantityAgent: AvgDailySales: -0.45; CurrentStock: -0.40 | CostAgent: CurrentStock: -0.45; AvgDailySales: -0.42,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-13,2025-11-26T18:55:09.366526,Milk (1L),1812,1812,47616,0,0.8649395286102407,CRITICAL,45804,"UrgencyAgent: 🚨 EMERGENCY: Only 1.4 days until stockout! | QuantityAgent: 📊 Optimal: 16404 units (EOQ: 10933, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 71880 units (Est. savings: $23240.42)",UrgencyAgent: StockPercentage: -0.29; AvgDailySales: -0.18 | QuantityAgent: StockPercentage: -0.31; AvgDailySales: -0.19 | CostAgent: StockPercentage: -0.27; AvgDailySales: -0.18,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-14,2025-11-26T18:55:09.366526,Pulses (1kg),2991,2991,37428,0,0.714239281351389,CRITICAL,34437,"UrgencyAgent: ⚠️ HIGH PRIORITY: 2.1 days remaining | QuantityAgent: 📊 Optimal: 15180 units (EOQ: 10115, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 60096 units (Est. savings: $28779.81)",UrgencyAgent: AvgDailySales: +0.59; CurrentStock: +0.50 | QuantityAgent: AvgDailySales: +0.60; CurrentStock: +0.49 | CostAgent: AvgDailySales: +0.59; CurrentStock: +0.48,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""URGENT_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-15,2025-11-26T18:55:09.366526,Cooking Oil (1L),3354,3354,35963,0,0.716849630641719,CRITICAL,32609,"UrgencyAgent: ⚠️ HIGH PRIORITY: 2.7 days remaining | QuantityAgent: 📊 Optimal: 14784 units (EOQ: 9850, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 56460 units (Est. savings: $36452.35)",UrgencyAgent: AvgDailySales: +0.58; CurrentStock: +0.50 | QuantityAgent: AvgDailySales: +0.62; CurrentStock: +0.52 | CostAgent: AvgDailySales: +0.58; CurrentStock: +0.47,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""URGENT_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-16,2025-11-26T18:55:09.366526,Cheese (200g),2028,2028,46608,0,0.9174133514616095,CRITICAL,44580,"UrgencyAgent: 🚨 EMERGENCY: Only 1.6 days until stockout! | QuantityAgent: 📊 Optimal: 16188 units (EOQ: 10788, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 69720 units (Est. savings: $25070.01)",UrgencyAgent: StockPercentage: -0.30; CurrentStock: +0.06 | QuantityAgent: StockPercentage: -0.22; CurrentStock: +0.01 | CostAgent: StockPercentage: -0.32; AvgDailySales: -0.02,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-17,2025-11-26T18:55:09.366526,Rice (5kg),3090,3090,37027,0,0.7292579390458668,CRITICAL,33937,"UrgencyAgent: ⚠️ HIGH PRIORITY: 2.3 days remaining | QuantityAgent: 📊 Optimal: 15072 units (EOQ: 10044, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 59100 units (Est. savings: $32408.19)",UrgencyAgent: AvgDailySales: +0.59; CurrentStock: +0.51 | QuantityAgent: AvgDailySales: +0.57; CurrentStock: +0.48 | CostAgent: AvgDailySales: +0.57; CurrentStock: +0.47,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""URGENT_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-18,2025-11-26T18:55:09.366526,Sugar (1kg),3733,3733,29617,0,0.7966865632603882,HIGH,25884,"UrgencyAgent: ⚠️ HIGH PRIORITY: 3.2 days remaining | QuantityAgent: 📊 Optimal: 12444 units (EOQ: 9565, Urgency: HIGH) | CostAgent: 💵 Cost-optimized: 40140 units (Est. savings: $39811.48)",UrgencyAgent: AvgDailySales: +0.58; CurrentStock: +0.48 | QuantityAgent: AvgDailySales: +0.59; CurrentStock: +0.50 | CostAgent: AvgDailySales: +0.60; CurrentStock: +0.46,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""URGENT_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-19,2025-11-26T18:55:09.366526,Butter (100g),1638,1638,48429,0,0.7921059979515707,CRITICAL,46791,"UrgencyAgent: 🚨 EMERGENCY: Only 1.3 days until stockout! | QuantityAgent: 📊 Optimal: 16584 units (EOQ: 11049, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 73620 units (Est. savings: $22210.34)",UrgencyAgent: AvgDailySales: -0.43; CurrentStock: -0.42 | QuantityAgent: AvgDailySales: -0.41; CurrentStock: -0.41 | CostAgent: AvgDailySales: -0.42; CurrentStock: -0.38,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-20,2025-11-26T18:55:09.366526,Curd (500g),1775,1775,47788,0,0.8913109776030973,CRITICAL,46013,"UrgencyAgent: 🚨 EMERGENCY: Only 1.2 days until stockout! | QuantityAgent: 📊 Optimal: 16440 units (EOQ: 10958, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 72252 units (Est. savings: $19752.55)",UrgencyAgent: StockPercentage: -0.33; AvgDailySales: -0.23 | QuantityAgent: StockPercentage: -0.30; AvgDailySales: -0.19 | CostAgent: StockPercentage: -0.31; AvgDailySales: -0.17,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-21,2025-11-26T18:55:09.366526,Salt (1kg),3720,3720,29661,0,0.8118915215811892,HIGH,25941,"UrgencyAgent: ⚠️ HIGH PRIORITY: 3.0 days remaining | QuantityAgent: 📊 Optimal: 12456 units (EOQ: 9575, Urgency: HIGH) | CostAgent: 💵 Cost-optimized: 40248 units (Est. savings: $37840.16)",UrgencyAgent: AvgDailySales: +0.59; CurrentStock: +0.52 | QuantityAgent: AvgDailySales: +0.57; CurrentStock: +0.51 | CostAgent: AvgDailySales: +0.57; CurrentStock: +0.46,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""URGENT_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-22,2025-11-26T18:55:09.366526,Kurkure,1757,1757,47875,0,0.8860414698002782,CRITICAL,46118,"UrgencyAgent: 🚨 EMERGENCY: Only 1.2 days until stockout! | QuantityAgent: 📊 Optimal: 16464 units (EOQ: 10970, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 72432 units (Est. savings: $20093.74)",UrgencyAgent: StockPercentage: -0.29; AvgDailySales: -0.18 | QuantityAgent: StockPercentage: -0.28; AvgDailySales: -0.18 | CostAgent: StockPercentage: -0.35; AvgDailySales: -0.15,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-23,2025-11-26T18:55:09.367517,Pepsi (2L),2248,2248,45580,0,0.6990215820530508,CRITICAL,43332,"UrgencyAgent: 🚨 EMERGENCY: Only 1.9 days until stockout! | QuantityAgent: 📊 Optimal: 15960 units (EOQ: 10638, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 67524 units (Est. savings: $29987.84)",UrgencyAgent: StockPercentage: -0.30; CurrentStock: +0.04 | QuantityAgent: StockPercentage: -0.26; CurrentStock: +0.04 | CostAgent: StockPercentage: -0.21; CurrentStock: +0.01,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185809-0,2025-11-26T18:58:09.121180,Soap (125g),965,965,3458,0,0.5128727185774106,MEDIUM,2493,"UrgencyAgent: 📋 MEDIUM: 9.2 days supply | QuantityAgent: 📊 Optimal: 3084 units (EOQ: 2794, Urgency: MEDIUM) | CostAgent: 💵 Cost-optimized: 2256 units (Est. savings: $9805.88)",UrgencyAgent: AvgDailySales: -1.89; StockPercentage: -1.78 | QuantityAgent: AvgDailySales: -1.90; StockPercentage: -1.64 | CostAgent: AvgDailySales: -2.01; CurrentStock: -1.78,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""STANDARD_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185809-1,2025-11-26T18:58:09.121180,Toothpaste (150g),950,950,3507,0,0.49975336201403503,MEDIUM,2557,"UrgencyAgent: 📋 MEDIUM: 9.0 days supply | QuantityAgent: 📊 Optimal: 3120 units (EOQ: 2833, Urgency: MEDIUM) | CostAgent: 💵 Cost-optimized: 2352 units (Est. savings: $9916.05)",UrgencyAgent: AvgDailySales: -1.97; CurrentStock: -1.69 | QuantityAgent: AvgDailySales: -2.05; CurrentStock: -1.78 | CostAgent: AvgDailySales: -1.90; CurrentStock: -1.67,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""STANDARD_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185809-2,2025-11-26T18:58:09.121180,Chocolate,1114,1114,2908,0,0.7798372345339357,LOW,1794,"QuantityAgent: 📊 Optimal: 2376 units (EOQ: 2373, Urgency: LOW) | CostAgent: 💵 Cost-optimized: 1212 units (Est. savings: $10854.40)",QuantityAgent: StockPercentage: -1.46; AvgDailySales: +0.48 | CostAgent: StockPercentage: -1.45; CurrentStock: +0.43,Multi-Agent Consensus: 2 agents,AUTO_APPROVED,"{""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185809-3,2025-11-26T18:58:09.121180,Red Bull (250ml),1118,1118,2888,0,0.8130760426042808,LOW,1770,"QuantityAgent: 📊 Optimal: 2364 units (EOQ: 2361, Urgency: LOW) | CostAgent: 💵 Cost-optimized: 1176 units (Est. savings: $10888.72)",QuantityAgent: StockPercentage: -1.44; AvgDailySales: +0.55 | CostAgent: StockPercentage: -1.47; AvgDailySales: +0.39,Multi-Agent Consensus: 2 agents,AUTO_APPROVED,"{""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
